title,link,author,pubDate,description,isbn,isbn13,itemId,priceSales,priceStandard,mallType,stockStatus,mileage,cover,categoryId,categoryName,publisher,salesPoint,adult,fixedPrice,customerReviewRank,subInfo,seriesInfo
나는 메트로폴리탄 미술관의 경비원입니다 - 경이로운 세계 속으로 숨어버린 한 남자의 이야기,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=328923887&amp;partner=openAPI&amp;start=api,"패트릭 브링리 (지은이), 김희정, 조현주 (옮긴이)",2023-11-24,뉴욕 메트로폴리탄 미술관에서 경비원으로 근무했던 패트릭 브링리의 독특하면서도 지적인 회고를 담은 에세이다. 가족의 죽음으로 고통 속에 웅크리고 있던 한 남자가 미술관에서 10년이라는 시간을 보내며 상실감을 극복하고 마침내 세상으로 나아갈 힘을 얻는 여정을 섬세하게 그려냈다.,K912934840,9788901276533,328923887,15750,17500,BOOK,품절,870,https://image.aladin.co.kr/product/32892/38/coversum/s402930162_1.jpg,51373,국내도서>에세이>외국에세이,웅진지식하우스,125790,False,True,9,"{'ebookList': [{'itemId': 338020288, 'isbn': 'E172533875', 'isbn13': '9788901281902', 'priceSales': 21000, 'link': 'https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=338020288&amp;partner=openAPI'}], 'usedList': {'aladinUsed': {'itemCount': 0, 'minPrice': 0, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=328923887&amp;TabType=2&amp;partner=openAPI'}, 'userUsed': {'itemCount': 41, 'minPrice': 10000, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=328923887&amp;TabType=1&amp;partner=openAPI'}, 'spaceUsed': {'itemCount': 15, 'minPrice': 11400, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=328923887&amp;TabType=3&amp;partner=openAPI'}}, 'subTitle': '경이로운 세계 속으로 숨어버린 한 남자의 이야기', 'originalTitle': 'All the Beauty in the World: The Metropolitan Museum of Art and Me', 'itemPage': 360, 'cardReviewImgList': ['https://image.aladin.co.kr/product/32892/38/cardview/8901276534_t1.jpg', 'https://image.aladin.co.kr/product/32892/38/cardview/8901276534_t2.jpg', 'https://image.aladin.co.kr/product/32892/38/cardview/8901276534_t12.jpg'], 'ratingInfo': {'ratingScore': 8.6, 'ratingCount': 163, 'commentReviewCount': 57, 'myReviewCount': 81}, 'packing': {'styleDesc': '반양장본', 'weight': 468, 'sizeDepth': 20, 'sizeHeight': 210, 'sizeWidth': 135}, 'c2bsales': 1, 'c2bsales_price': {'AA': 5600, 'A': 5000, 'B': 4500, 'C': 0}, 'subBarcode': '03840'}",
마흔에 읽는 쇼펜하우어 - 마음의 위기를 다스리는 철학 수업,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=323615985&amp;partner=openAPI&amp;start=api,강용수 (지은이),2023-09-07,"인생의 의미를 끊임없이 고민한 철학자, 아르투어 쇼펜하우어의 깨달음과 철학적 사유 중 현시대 우리가 고통을 해소하고 마음의 위기를 극복하는 데 도움이 될 내용을 30가지로 정리했다.",K592935565,9791192300818,323615985,15300,17000,BOOK,품절,850,https://image.aladin.co.kr/product/32361/59/coversum/k592935565_2.jpg,51473,국내도서>인문학>서양철학>근대철학>쇼펜하우어,유노북스,123390,False,True,7,"{'ebookList': [], 'usedList': {'aladinUsed': {'itemCount': 0, 'minPrice': 0, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=323615985&amp;TabType=2&amp;partner=openAPI'}, 'userUsed': {'itemCount': 43, 'minPrice': 10000, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=323615985&amp;TabType=1&amp;partner=openAPI'}, 'spaceUsed': {'itemCount': 15, 'minPrice': 11500, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=323615985&amp;TabType=3&amp;partner=openAPI'}}, 'subTitle': '마음의 위기를 다스리는 철학 수업', 'originalTitle': '', 'itemPage': 232, 'cardReviewImgList': ['https://image.aladin.co.kr/product/32361/59/cardview/K592935565_t1.jpg', 'https://image.aladin.co.kr/product/32361/59/cardview/K592935565_t2.jpg', 'https://image.aladin.co.kr/product/32361/59/cardview/K592935565_t11.jpg'], 'ratingInfo': {'ratingScore': 7.1, 'ratingCount': 68, 'commentReviewCount': 25, 'myReviewCount': 31}, 'packing': {'styleDesc': '미확인', 'weight': 302, 'sizeDepth': 12, 'sizeHeight': 210, 'sizeWidth': 142}, 'c2bsales': 1, 'c2bsales_price': {'AA': 8300, 'A': 7400, 'B': 6600, 'C': 0}, 'subBarcode': '03160'}","{'seriesId': 1107275, 'seriesLink': 'http://www.aladin.co.kr/shop/common/wseriesitem.aspx?SRID=1107275&amp;partner=openAPI', 'seriesName': '마흔에 읽는 서양 고전 '}"
세이노의 가르침 (화이트 에디션) - 피보다 진하게 살아라,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=309295168&amp;partner=openAPI&amp;start=api,세이노(SayNo) (지은이),2023-03-02,"2000년부터 발표된 그의 주옥같은 글들. 독자들이 자발적으로 만든 제본서는 물론, 전자책과 앱까지 나왔던 《세이노의 가르침》이 드디어 전국 서점에서 독자들을 마주한다. 여러 판본을 모으고 저자의 확인을 거쳐 최근 생각을 추가로 수록하였다. 정식 출간본에만 추가로 수록된 글들은 목차와 본문에 별도 표시하였다.",K732831392,9791168473690,309295168,6480,7200,BOOK,,360,https://image.aladin.co.kr/product/30929/51/coversum/s662930344_1.jpg,70216,국내도서>자기계발>성공>성공학,데이원,293196,False,True,8,"{'ebookList': [{'itemId': 312392359, 'isbn': 'E192531281', 'isbn13': '9791168474000', 'priceSales': 0, 'link': 'https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=312392359&amp;partner=openAPI'}], 'usedList': {'aladinUsed': {'itemCount': 1, 'minPrice': 4700, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=309295168&amp;TabType=2&amp;partner=openAPI'}, 'userUsed': {'itemCount': 33, 'minPrice': 3900, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=309295168&amp;TabType=1&amp;partner=openAPI'}, 'spaceUsed': {'itemCount': 15, 'minPrice': 4700, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=309295168&amp;TabType=3&amp;partner=openAPI'}}, 'subTitle': '피보다 진하게 살아라', 'originalTitle': '', 'itemPage': 736, 'ratingInfo': {'ratingScore': 8.4, 'ratingCount': 284, 'commentReviewCount': 264, 'myReviewCount': 41}, 'bestSellerRank': '자기계발 주간 12위', 'packing': {'styleDesc': '반양장본', 'weight': 1030, 'sizeDepth': 39, 'sizeHeight': 223, 'sizeWidth': 152}, 'c2bsales': 1, 'c2bsales_price': {'AA': 3400, 'A': 3000, 'B': 2700, 'C': 0}, 'subBarcode': '03190'}",
원피스 107 - 전설의 영웅,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=331003597&amp;partner=openAPI&amp;start=api,오다 에이치로 (지은이),2024-01-15,"역사를 깊이 알고 만 대가로 CPO에게 목숨이 노려지는 베가펑크! 루피 일행에게 도움을 구하면서 함께 섬을 탈출하기 위해 움직이나, 스텔라(본체)가 행방불명되는데. 섬에선 대체 무슨 일이 벌어지고 있는지?!",K872937718,9791171723331,331003597,4950,5500,BOOK,,270,https://image.aladin.co.kr/product/33100/35/coversum/k872937718_1.jpg,4133,국내도서>만화>본격장르만화>판타지>액션 판타지,대원씨아이(만화),27005,False,True,10,"{'ebookList': [{'itemId': 333772103, 'isbn': 'E122532631', 'isbn13': '9791137352797', 'priceSales': 3000, 'link': 'https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=333772103&amp;partner=openAPI'}], 'usedList': {'aladinUsed': {'itemCount': 0, 'minPrice': 0, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=331003597&amp;TabType=2&amp;partner=openAPI'}, 'userUsed': {'itemCount': 6, 'minPrice': 3000, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=331003597&amp;TabType=1&amp;partner=openAPI'}, 'spaceUsed': {'itemCount': 0, 'minPrice': 0, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=331003597&amp;TabType=3&amp;partner=openAPI'}}, 'subTitle': '전설의 영웅', 'originalTitle': '', 'itemPage': 220, 'ratingInfo': {'ratingScore': 9.7, 'ratingCount': 41, 'commentReviewCount': 41, 'myReviewCount': 2}, 'packing': {'styleDesc': '반양장본', 'weight': 220, 'sizeDepth': 13, 'sizeHeight': 188, 'sizeWidth': 128}, 'c2bsales': 1, 'c2bsales_price': {'AA': 1900, 'A': 1700, 'B': 1500, 'C': 0}, 'subBarcode': ''}",
이처럼 사소한 것들,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=329386807&amp;partner=openAPI&amp;start=api,"클레어 키건 (지은이), 홍한별 (옮긴이)",2023-11-27,2023년 4월 국내에 처음 소개된 『맡겨진 소녀』로 국내 문인들과 문학 독자들의 열렬한 환호를 받은 클레어 키건의 대표작. 자신이 속한 사회 공동체의 은밀한 공모를 발견하고 자칫 모든 걸 잃을 수 있는 선택 앞에서 고뇌하는 한 남자의 내면을 그린 작품이다.,K472936042,9791130646381,329386807,12420,13800,BOOK,,690,https://image.aladin.co.kr/product/32938/68/coversum/k472936042_2.jpg,52652,국내도서>소설/시/희곡>세계의 소설>아일랜드소설,다산책방,250518,False,True,9,"{'ebookList': [{'itemId': 343355870, 'isbn': 'E602533139', 'isbn13': '9791130653648', 'priceSales': 14400, 'link': 'https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=343355870&amp;partner=openAPI'}, {'itemId': 340700630, 'isbn': 'E132533709', 'isbn13': '9791130653167', 'priceSales': 11000, 'link': 'https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=340700630&amp;partner=openAPI'}], 'usedList': {'aladinUsed': {'itemCount': 0, 'minPrice': 0, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=329386807&amp;TabType=2&amp;partner=openAPI'}, 'userUsed': {'itemCount': 48, 'minPrice': 9400, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=329386807&amp;TabType=1&amp;partner=openAPI'}, 'spaceUsed': {'itemCount': 3, 'minPrice': 8800, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=329386807&amp;TabType=3&amp;partner=openAPI'}}, 'subTitle': '', 'originalTitle': 'Small Things Like These', 'itemPage': 132, 'cardReviewImgList': ['https://image.aladin.co.kr/product/32938/68/cardview/K472936042_t1.jpg', 'https://image.aladin.co.kr/product/32938/68/cardview/K472936042_t2.jpg', 'https://image.aladin.co.kr/product/32938/68/cardview/K472936042_t10.jpg'], 'ratingInfo': {'ratingScore': 9.2, 'ratingCount': 176, 'commentReviewCount': 85, 'myReviewCount': 98}, 'bestSellerRank': '종합 주간 5위', 'packing': {'styleDesc': '양장본', 'weight': 185, 'sizeDepth': 13, 'sizeHeight': 192, 'sizeWidth': 132}, 'c2bsales': 1, 'c2bsales_price': {'AA': 6000, 'A': 5400, 'B': 4800, 'C': 0}, 'subBarcode': '03840'}",
퓨처 셀프 - 현재와 미래가 달라지는 놀라운 혁명,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=323548193&amp;partner=openAPI&amp;start=api,"벤저민 하디 (지은이), 최은아 (옮긴이)",2023-08-30,"‘미래의 나는 어떤 모습일까?’라는 질문은 우리가 인생에서 쉽게 놓치는 중요한 진실에 이르게 한다. 즉, 미래의 나와 연결될수록 현재 더 나은 삶을 살게 된다는 것이다. 이 책은 미래의 내가 어떤 모습일지 깊이 생각해보고, 지금 그 사람이 되는 방법을 구체적으로 알려주는 인생 지침서이다.",K342935366,9791192389325,323548193,17820,19800,BOOK,구판절판,990,https://image.aladin.co.kr/product/32354/81/coversum/k342935366_1.jpg,70216,국내도서>자기계발>성공>성공학,상상스퀘어,142148,False,True,8,"{'ebookList': [], 'usedList': {'aladinUsed': {'itemCount': 0, 'minPrice': 0, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=323548193&amp;TabType=2&amp;partner=openAPI'}, 'userUsed': {'itemCount': 6, 'minPrice': 17000, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=323548193&amp;TabType=1&amp;partner=openAPI'}, 'spaceUsed': {'itemCount': 0, 'minPrice': 0, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=323548193&amp;TabType=3&amp;partner=openAPI'}}, 'subTitle': '현재와 미래가 달라지는 놀라운 혁명', 'originalTitle': 'Be Your Future Self Now: The Science of Intentional Transformation (2022년)', 'itemPage': 292, 'ratingInfo': {'ratingScore': 7.8, 'ratingCount': 51, 'commentReviewCount': 33, 'myReviewCount': 20}, 'packing': {'styleDesc': '반양장본', 'weight': 474, 'sizeDepth': 17, 'sizeHeight': 210, 'sizeWidth': 145}, 'c2bsales': 1, 'c2bsales_price': {'AA': 9700, 'A': 8700, 'B': 7700, 'C': 0}, 'subBarcode': '03320'}",
세상은 이야기로 만들어졌다 - 신화·거짓말·유토피아,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=325850674&amp;partner=openAPI&amp;start=api,"자미라 엘 우아실, 프리데만 카릭 (지은이), 김현정 (옮긴이)",2023-10-16,2022년 독일 독서문화진흥재단에서 선정한 최고의 논픽션 중 한 권에 들어갔던 이 책에서 저자들은 이야기가 지닌 상반된 영향력을 추적한다. 그들은 어떤 이야기가 오늘날 우리를 위험에 빠뜨리는지 그리고 우리 세상을 유지하기 위해 새로운 이야기가 왜 절박한지를 잘 풀어놓고 있다.,K632935343,9791192953151,325850674,24300,27000,BOOK,,1350,https://image.aladin.co.kr/product/32585/6/coversum/k632935343_1.jpg,51378,국내도서>인문학>교양 인문학,원더박스,32615,False,True,9,"{'ebookList': [{'itemId': 330289871, 'isbn': 'E642532113', 'isbn13': '9791192953212', 'priceSales': 18900, 'link': 'https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=330289871&amp;partner=openAPI'}], 'usedList': {'aladinUsed': {'itemCount': 0, 'minPrice': 0, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=325850674&amp;TabType=2&amp;partner=openAPI'}, 'userUsed': {'itemCount': 43, 'minPrice': 18000, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=325850674&amp;TabType=1&amp;partner=openAPI'}, 'spaceUsed': {'itemCount': 15, 'minPrice': 17600, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=325850674&amp;TabType=3&amp;partner=openAPI'}}, 'subTitle': '신화·거짓말·유토피아', 'originalTitle': 'Erz&#228;hlende Affen: Mythen, L&#252;gen, Utopien - wie Geschichten unser Leben bestimmen', 'itemPage': 568, 'cardReviewImgList': ['https://image.aladin.co.kr/product/32585/6/cardview/K632935343_t1.jpg', 'https://image.aladin.co.kr/product/32585/6/cardview/K632935343_t2.jpg', 'https://image.aladin.co.kr/product/32585/6/cardview/K632935343_t7.jpg'], 'ratingInfo': {'ratingScore': 8.5, 'ratingCount': 26, 'commentReviewCount': 14, 'myReviewCount': 12}, 'bestSellerRank': '예술/대중문화 주간 49위', 'packing': {'styleDesc': '미확인', 'weight': 738, 'sizeDepth': 28, 'sizeHeight': 215, 'sizeWidth': 148}, 'c2bsales': 1, 'c2bsales_price': {'AA': 11900, 'A': 10700, 'B': 9500, 'C': 0}, 'subBarcode': '03300'}",
도시와 그 불확실한 벽,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=323553082&amp;partner=openAPI&amp;start=api,"무라카미 하루키 (지은이), 홍은주 (옮긴이)",2023-09-06,"고교생 에세이 대회에서 만나 서로 좋아하게 된 그들은, 화창한 여름날 순수한 한쌍의 소년과 소녀였다. 그러던 어느 날, 소녀가 알 수 없는 말을 한다. “지금 여기 있는 나는 진짜 내가 아니야. 진짜 나는 높은 벽으로 둘러싸인 그 도시에 살아.” 소년은 소녀가 들려주는 도시 이야기에 빠져든다.",K162931235,9788954699075,323553082,17550,19500,BOOK,절판,970,https://image.aladin.co.kr/product/32355/30/coversum/s882937331_1.jpg,50998,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설,문학동네,162390,False,True,9,"{'ebookList': [{'itemId': 336028550, 'isbn': 'E902532956', 'isbn13': '9788954698597', 'priceSales': 19500, 'link': 'https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=336028550&amp;partner=openAPI'}], 'usedList': {'aladinUsed': {'itemCount': 0, 'minPrice': 0, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=323553082&amp;TabType=2&amp;partner=openAPI'}, 'userUsed': {'itemCount': 63, 'minPrice': 8500, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=323553082&amp;TabType=1&amp;partner=openAPI'}, 'spaceUsed': {'itemCount': 15, 'minPrice': 12800, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=323553082&amp;TabType=3&amp;partner=openAPI'}}, 'subTitle': '', 'originalTitle': '街とその不確かな壁', 'itemPage': 768, 'ratingInfo': {'ratingScore': 8.9, 'ratingCount': 260, 'commentReviewCount': 128, 'myReviewCount': 144}, 'packing': {'styleDesc': '반양장본', 'weight': 768, 'sizeDepth': 40, 'sizeHeight': 188, 'sizeWidth': 128}, 'c2bsales': 1, 'c2bsales_price': {'AA': 7600, 'A': 6800, 'B': 6000, 'C': 0}, 'subBarcode': '03830'}",
ETS 토익 정기시험 기출문제집 1000 Vol. 4 Reading (리딩) - 토익 기출문제 독점출간/ ALL NEW 최신기출 10회 수록/ 문제집+해설집+무료 동영상 강의+기출어휘 단어장(PDF)+APP 모바일 학습,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=330109498&amp;partner=openAPI&amp;start=api,ETS (엮은이),2023-12-18,정기시험 최신 기출문제 10세트가 수록되어 있다. 시험에 나온 최신 기출문제로 실전 감각을 키워 시험에 확실하게 대비할 수 있다. 교재 내 QR코드는 해당 회차의 무료 동영상 강의로 연결된다. 오답률 높은 고난도 문항을 친절한 해설 강의와 함께 수록하였다.,8917239501,9788917239508,330109498,17820,19800,BOOK,,990,https://image.aladin.co.kr/product/33010/94/coversum/8917239501_1.jpg,49854,국내도서>외국어>토익>Reading,(주)YBM(와이비엠),214560,False,True,10,"{'ebookList': [], 'usedList': {'aladinUsed': {'itemCount': 0, 'minPrice': 0, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=330109498&amp;TabType=2&amp;partner=openAPI'}, 'userUsed': {'itemCount': 21, 'minPrice': 12980, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=330109498&amp;TabType=1&amp;partner=openAPI'}, 'spaceUsed': {'itemCount': 0, 'minPrice': 0, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=330109498&amp;TabType=3&amp;partner=openAPI'}}, 'subTitle': '토익 기출문제 독점출간/ ALL NEW 최신기출 10회 수록/ 문제집+해설집+무료 동영상 강의+기출어휘 단어장(PDF)+APP 모바일 학습', 'originalTitle': '', 'itemPage': 536, 'ratingInfo': {'ratingScore': 10, 'ratingCount': 10, 'commentReviewCount': 10, 'myReviewCount': 0}, 'bestSellerRank': '종합 주간 10위', 'packing': {'styleDesc': '반양장본', 'weight': 1375, 'sizeDepth': 29, 'sizeHeight': 280, 'sizeWidth': 210}, 'c2bsales': 1, 'c2bsales_price': {'AA': 8700, 'A': 7800, 'B': 6900, 'C': 0}, 'subBarcode': '14740'}","{'seriesId': 625613, 'seriesLink': 'http://www.aladin.co.kr/shop/common/wseriesitem.aspx?SRID=625613&amp;partner=openAPI', 'seriesName': 'ETS 토익 정기시험 기출문제집 '}"
ETS 토익 정기시험 기출문제집 1000 Vol. 4 Listening (리스닝) - 토익 기출문제 독점출간/ ALL NEW 최신기출 10회 수록/ 문제집+해설집+무료 정기시험 성우 MP3+무료 동영상 강의+기출어휘 단어장(PDF)+APP 모바일 학습,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=330109271&amp;partner=openAPI&amp;start=api,ETS (엮은이),2023-12-18,"정기시험 최신 기출문제 10세트가 수록되어 있다. 시험에 나온 기출문제로 실전 감각을 키워 시험에 확실하게 대비하자! 수록된 10세트의 LC 음원은 모두 정기시험 성우의 음원이다. 시험장에서 듣게 될 음성으로 공부하면 까다로운 영국식, 호주식 발음도 걱정 없다.",8917239498,9788917239492,330109271,17820,19800,BOOK,,990,https://image.aladin.co.kr/product/33010/92/coversum/8917239498_1.jpg,49855,국내도서>외국어>토익>Listening,(주)YBM(와이비엠),196906,False,True,10,"{'ebookList': [], 'usedList': {'aladinUsed': {'itemCount': 0, 'minPrice': 0, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=330109271&amp;TabType=2&amp;partner=openAPI'}, 'userUsed': {'itemCount': 23, 'minPrice': 12980, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=330109271&amp;TabType=1&amp;partner=openAPI'}, 'spaceUsed': {'itemCount': 0, 'minPrice': 0, 'link': 'https://www.aladin.co.kr/shop/UsedShop/wuseditemall.aspx?ItemId=330109271&amp;TabType=3&amp;partner=openAPI'}}, 'subTitle': '토익 기출문제 독점출간/ ALL NEW 최신기출 10회 수록/ 문제집+해설집+무료 정기시험 성우 MP3+무료 동영상 강의+기출어휘 단어장(PDF)+APP 모바일 학습', 'originalTitle': '', 'itemPage': 464, 'ratingInfo': {'ratingScore': 10, 'ratingCount': 6, 'commentReviewCount': 6, 'myReviewCount': 0}, 'bestSellerRank': '외국어 주간 2위', 'packing': {'styleDesc': '반양장본', 'weight': 1191, 'sizeDepth': 25, 'sizeHeight': 280, 'sizeWidth': 210}, 'c2bsales': 1, 'c2bsales_price': {'AA': 8700, 'A': 7800, 'B': 6900, 'C': 0}, 'subBarcode': '14740'}","{'seriesId': 625613, 'seriesLink': 'http://www.aladin.co.kr/shop/common/wseriesitem.aspx?SRID=625613&amp;partner=openAPI', 'seriesName': 'ETS 토익 정기시험 기출문제집 '}"
